id,sport_key,sport_title,commence_time,home,away,home_score,away_score,result,completed,source
8ea201bdda2a6a63bd3a6bc19250e4a0,baseball_mlb,MLB,2026-07-05T19:32:02Z,Cleveland Guardians,Chicago White Sox,6,7,away,true,the-odds-api:scores:baseball_mlb
12eaa8dfb716d6ed545a6e1fed88cc2a,baseball_mlb,MLB,2026-07-05T19:31:00Z,Texas Rangers,Detroit Tigers,3,6,away,true,the-odds-api:scores:baseball_mlb
1dea84746e977d3a57b78a0a47ba6935,baseball_mlb,MLB,2026-07-05T19:31:00Z,Houston Astros,Tampa Bay Rays,2,0,home,true,the-odds-api:scores:baseball_mlb
4dea73f21196e43153d6355e7f5d1266,baseball_mlb,MLB,2026-07-05T19:01:00Z,Kansas City Royals,Philadelphia Phillies,5,2,home,true,the-odds-api:scores:baseball_mlb
5aed324537c72e3b3cd7d1f3e3905db5,baseball_mlb,MLB,2026-07-05T18:35:36Z,Chicago Cubs,St. Louis Cardinals,6,4,home,true,the-odds-api:scores:baseball_mlb
6f0fa1db67e69c8f534003061fdedee9,baseball_mlb,MLB,2026-07-05T18:17:11Z,Atlanta Braves,New York Mets,9,10,away,true,the-odds-api:scores:baseball_mlb
29749cde930adfaf1cbc374908eeac88,baseball_mlb,MLB,2026-07-05T17:37:09Z,New York Yankees,Minnesota Twins,1,6,away,true,the-odds-api:scores:baseball_mlb
ff0f58dec0d0f4a36d53233a99151d06,baseball_mlb,MLB,2026-07-05T17:06:21Z,Cincinnati Reds,Baltimore Orioles,3,2,home,true,the-odds-api:scores:baseball_mlb
e7bb88c6da50433a86db985ff3c21afe,baseball_mlb,MLB,2026-07-05T17:01:00Z,Washington Nationals,Pittsburgh Pirates,5,11,away,true,the-odds-api:scores:baseball_mlb
937c0d8ee53bf0a6f8f1e472832b86c5,baseball_mlb,MLB,2026-07-05T02:11:00Z,Los Angeles Dodgers,San Diego Padres,3,0,home,true,the-odds-api:scores:baseball_mlb
a523c1ba668649088416935d2bc9a573,baseball_mlb,MLB,2026-07-05T01:41:00Z,Arizona Diamondbacks,Milwaukee Brewers,4,3,home,true,the-odds-api:scores:baseball_mlb
