date,league,home,away,home_score,away_score,odds_home,odds_draw,odds_away,odds_over25,odds_btts,odds_timing,source
2023-08-21,Premier League,Crystal Palace,Arsenal,0,1,4.42,3.55,1.89,2.05,,closing,football-data:2324:E0
2023-08-21,Serie A,Bologna,Milan,0,2,3.83,3.44,2.04,2.0,,closing,football-data:2324:I1
2023-08-21,Serie A,Torino,Cagliari,0,0,1.6,3.82,6.18,2.15,,closing,football-data:2324:I1
2023-08-25,Bundesliga,RB Leipzig,Stuttgart,5,1,1.58,4.43,5.4,1.58,,closing,football-data:2324:D1
2023-08-25,La Liga,Celta,Real Madrid,0,1,4.53,3.84,1.79,1.76,,closing,football-data:2324:SP1
2023-08-25,La Liga,Las Palmas,Sociedad,0,0,4.5,3.29,1.95,2.49,,closing,football-data:2324:SP1
2023-08-25,Ligue 1,Nantes,Monaco,3,3,4.27,3.85,1.81,1.64,,closing,football-data:2324:F1
2023-08-25,Premier League,Chelsea,Luton,3,0,1.26,6.12,12.06,1.63,,closing,football-data:2324:E0
2023-08-26,Bundesliga,Bochum,Dortmund,1,1,5.75,4.78,1.52,1.46,,closing,football-data:2324:D1
2023-08-26,Bundesliga,Darmstadt,Union Berlin,1,4,3.98,3.41,2.02,2.19,,closing,football-data:2324:D1
2023-08-26,Bundesliga,FC Koln,Wolfsburg,1,2,2.16,3.64,3.32,1.71,,closing,football-data:2324:D1
2023-08-26,Bundesliga,Freiburg,Werder Bremen,1,0,1.75,4.03,4.54,1.62,,closing,football-data:2324:D1
2023-08-26,Bundesliga,Heidenheim,Hoffenheim,2,3,3.07,3.75,2.21,1.56,,closing,football-data:2324:D1
2023-08-26,Bundesliga,M'gladbach,Leverkusen,0,3,4.28,4.05,1.79,1.59,,closing,football-data:2324:D1
2023-08-26,La Liga,Cadiz,Almeria,1,1,2.17,3.37,3.56,2.1,,closing,football-data:2324:SP1
2023-08-26,La Liga,Granada,Mallorca,3,2,2.72,2.97,2.97,2.74,,closing,football-data:2324:SP1
2023-08-26,La Liga,Sevilla,Girona,1,2,1.95,3.54,4.06,1.98,,closing,football-data:2324:SP1
